,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4155,hsa-mir-106b,TTF1,4155,1.0,2.883867344088701,-0.4181851975762983,9.524215883781714e-12,-3.0232492633712176,2.556326765046251,1.0,0.7142857142857143,7,5
1213,hsa-mir-106b,ZNF8,1213,1.0,3.351799489315868,-0.5186432557236617,3.3470845591699705e-18,-3.3967002400376534,3.0970862973685627,0.8333333333333334,0.625,8,6
3251,hsa-mir-106b,REST,3251,1.0,3.388671203815868,-0.5119330549463258,1.0591111077713925e-17,-4.198654476304031,4.417375038161712,0.8333333333333334,0.3571428571428571,14,6
2674,hsa-mir-106b,MSX1,2674,-1.0,1.5343069694456144,-0.3676774443902296,3.169530677218711e-09,4.722382913146848,5.403020017564439,0.5714285714285714,0.2857142857142857,14,7
997,hsa-mir-106b,MEIS1,997,1.0,1.550052103449256,-0.431633361757185,1.7089126932433918e-12,-4.110209782730173,4.266246612256271,1.0,0.8333333333333334,6,5
994,hsa-mir-106b,MEIS1,994,1.0,1.550052103449256,-0.3072306909761146,9.915141510351035e-07,-2.657014192197628,2.074946483782509,1.0,0.8333333333333334,6,5
315,hsa-mir-106b,ETV2,315,-1.0,8.885699513675481,-0.3950428918557234,1.5401476086962028e-10,2.7819882912959213,2.2343825968479853,1.0,0.8,5,4
1057,hsa-mir-106b,ZNF652,1057,1.0,2.554552908385884,-0.65401534019801,3.637538193039018e-31,-4.3122754986680505,4.621284190759798,1.0,0.375,8,3
3206,hsa-mir-106b,NFAT5,3206,1.0,8.608343215382298,-0.6324985853479218,1.1413679413111847e-28,-3.6178649658208943,3.4367204947824628,1.0,0.25,4,1
3228,hsa-mir-106b,KLF12,3228,1.0,12.417222797807575,-0.6283120412706673,3.315676179587052e-28,-3.736555945773065,3.628247834597597,0.6666666666666666,0.5,4,3
