Source,Target,Edge,Coef
PPARG,NFIX,-1,-0.13929670153088322
PATZ1,NFIX,1,0.2452656868711569
MAFK,NFIX,1,0.014539073548844924
MZF1,NFIX,-1,-0.06647672001591293
SOX12,NFIX,1,0.06185882978205607
RUNX1,NFIX,-1,-0.11493874252848747
EGR1,NFIX,1,0.07331943665737234
IRF1,NFIX,-1,-0.09563025864452583
PKNOX2,NFIX,-1,-0.018285474943684956
MAX,NFIX,1,0.17372707900312198
NR2E1,NFIX,1,0.023914113512104682
IRF2,NFIX,-1,-0.24002371979330317
PRDM1,NFIX,-1,-0.0863794550503914
SMAD4,NFIX,-1,-0.054834454293031167
SMAD3,NFIX,1,0.08647375297027267
NR2F1,NFIX,1,0.3757199553190127
TGIF2,NFIX,-1,-0.009402828561044832
MEIS1,NFIX,-1,-0.15165303286534332
MAFB,NFIX,1,0.05368761480947479
PPARA,NFIX,-1,-0.06700952632088501
TFAP2A,NFIX,-1,-0.22287689187242088
OSR2,NFIX,-1,-0.0730517069369644
SOX18,MEF2D,1,0.06928136135650753
LHX6,MEF2D,1,0.1474785992961663
SREBF2,MEF2D,1,0.14153557742677167
ELF3,MEF2D,-1,-0.0006575768300891028
STAT4,MEF2D,1,0.02719050100768878
SP1,MEF2D,1,0.04858983823375011
NEUROD1,MEF2D,1,0.0026553136200128317
TP53,MEF2D,-1,-0.032988794397562096
SP4,MEF2D,-1,-0.07801608000914441
SOX4,MEF2D,-1,-0.0031045642179744416
NFYA,MEF2D,1,0.17357748864152336
ZNF282,MEF2D,1,0.025673409799302657
KLF15,MEF2D,1,0.10551734371517113
SPI1,MEF2D,1,0.20336258448341482
SOX2,MEF2D,-1,-0.08628681279616904
SRF,MEF2D,1,0.19289059951998416
SF1,MEF2D,1,0.05887873268204125
POU3F3,MEF2D,1,0.025921512531948594
PPARG,MEF2D,-1,-0.08375123323886269
POU3F4,MEF2D,1,0.004028181121950323
TFE3,MEF2D,1,0.03289177497223944
IKZF1,MEF2D,-1,-0.032545030504103
SOX12,MEF2D,1,0.07029758477347654
JUN,MEF2D,1,0.04827043990728504
