,Mutation,Regulator,Regulon,MutationRegulatorEdge,-log10(p)_MutationRegulatorEdge,RegulatorRegulon_Spearman_R,RegulatorRegulon_Spearman_p-value,Regulon_stratification_t-statistic,-log10(p)_Regulon_stratification,Fraction_of_edges_correctly_aligned,Fraction_of_aligned_and_diff_exp_edges,number_downstream_regulons,number_differentially_expressed_regulons
4066,NF1,SOX15,R-4066,-1.0,2.005868381032816,-0.1775578936069468,2.960803051076309e-05,4.657940886128888,4.2938089744510615,1.0,0.5,18,9
4055,NF1,SOX15,R-4055,-1.0,2.005868381032816,-0.2527100796559956,2.041921544484322e-09,5.334468472181084,5.274281193929962,1.0,0.5,18,9
4063,NF1,SOX15,R-4063,-1.0,2.005868381032816,-0.4316433776394542,3.120431941140411e-26,2.3572865007327963,1.5949380666686008,1.0,0.5,18,9
4060,NF1,SOX15,R-4060,-1.0,2.005868381032816,-0.2407996599138727,1.1766504168841744e-08,2.9291121269866243,2.188217104562798,1.0,0.5,18,9
4062,NF1,SOX15,R-4062,-1.0,2.005868381032816,0.1346581666641982,0.0015963499435156,-2.989466052161033,2.24530719121173,1.0,0.5,18,9
4068,NF1,SOX15,R-4068,-1.0,2.005868381032816,-0.229892913635691,5.405244461451484e-08,3.928404768959163,3.2703260656255444,1.0,0.5,18,9
4061,NF1,SOX15,R-4061,-1.0,2.005868381032816,-0.3409422814071928,2.349144510557167e-16,2.824136923673864,2.0826831720559187,1.0,0.5,18,9
4054,NF1,SOX15,R-4054,-1.0,2.005868381032816,-0.4915051054711311,1.3043587680688547e-34,3.0388173060028856,2.303212375507061,1.0,0.5,18,9
1271,NF1,ARID3A,R-1271,1.0,1.7274775307625336,0.2749039548503111,6.102849451318234e-11,5.214561851963816,4.9965618854800224,0.8333333333333334,0.4545454545454545,11,6
1270,NF1,ARID3A,R-1270,1.0,1.7274775307625336,-0.4513759836021941,8.19168540744024e-29,-2.1033680230887546,1.3566575332893418,0.8333333333333334,0.4545454545454545,11,6
1272,NF1,ARID3A,R-1272,1.0,1.7274775307625336,0.3680691797827067,5.427262941550593e-19,2.543174644607311,1.7806168601867254,0.8333333333333334,0.4545454545454545,11,6
1268,NF1,ARID3A,R-1268,1.0,1.7274775307625336,0.2023541784680844,1.8305328013188829e-06,2.677501397494943,1.921208368986317,0.8333333333333334,0.4545454545454545,11,6
1275,NF1,ARID3A,R-1275,1.0,1.7274775307625336,0.376538998971911,7.218655998063997e-20,3.663222640673149,3.008063512348382,0.8333333333333334,0.4545454545454545,11,6
742,NF1,ETV6,R-742,1.0,1.8721921138877853,0.5622555429331607,6.485997510624833e-47,4.999136855632763,4.811035827606465,1.0,0.2272727272727272,22,5
758,NF1,ETV6,R-758,1.0,1.8721921138877853,-0.3852896326374754,8.430332878560598e-21,-2.049109846373026,1.308479862714931,1.0,0.2272727272727272,22,5
748,NF1,ETV6,R-748,1.0,1.8721921138877853,0.3484029281544593,4.688867438508961e-17,2.1516447280663917,1.3935002236169354,1.0,0.2272727272727272,22,5
759,NF1,ETV6,R-759,1.0,1.8721921138877853,0.3455856184275298,8.660726160041256e-17,5.616963895879851,5.656135540692144,1.0,0.2272727272727272,22,5
750,NF1,ETV6,R-750,1.0,1.8721921138877853,0.5064266922444906,5.700503605720381e-37,2.271025371717998,1.521748153533851,1.0,0.2272727272727272,22,5
3927,NF1,PRDM1,R-3927,1.0,1.3775492729681171,0.3614618277811007,2.5133879896530582e-18,3.9078496990696383,3.290978751731376,1.0,0.5294117647058824,17,9
3926,NF1,PRDM1,R-3926,1.0,1.3775492729681171,0.1238245934532247,0.0037249818612615,3.272962647959791,2.597741592007503,1.0,0.5294117647058824,17,9
3936,NF1,PRDM1,R-3936,1.0,1.3775492729681171,0.3411354055144337,2.254395850531734e-16,2.4073310330919364,1.6466743531357233,1.0,0.5294117647058824,17,9
3924,NF1,PRDM1,R-3924,1.0,1.3775492729681171,0.4503742897703318,1.1181400751226342e-28,3.97237091305695,3.391622724636693,1.0,0.5294117647058824,17,9
3925,NF1,PRDM1,R-3925,1.0,1.3775492729681171,0.3754087023746346,9.481420465156705e-20,5.299838579725486,5.0819235850590205,1.0,0.5294117647058824,17,9
3929,NF1,PRDM1,R-3929,1.0,1.3775492729681171,0.4034923496018519,7.831038979179487e-23,4.542010719177051,4.030800945514491,1.0,0.5294117647058824,17,9
3934,NF1,PRDM1,R-3934,1.0,1.3775492729681171,0.2053503149594636,1.2759483335180598e-06,3.122798935792031,2.395698644009095,1.0,0.5294117647058824,17,9
3932,NF1,PRDM1,R-3932,1.0,1.3775492729681171,0.4358698188079417,9.027937800291636e-27,2.326133214995815,1.5598331156833638,1.0,0.5294117647058824,17,9
3940,NF1,PRDM1,R-3940,1.0,1.3775492729681171,0.3484794739281721,4.610944899207381e-17,3.1833303477063457,2.466339228026222,1.0,0.5294117647058824,17,9
3966,NF1,TEAD3,R-3966,1.0,2.336499034358973,0.5572159128985347,6.1397640452114295e-46,3.862407098186956,3.255353092635912,0.8333333333333334,0.5,10,6
3963,NF1,TEAD3,R-3963,1.0,2.336499034358973,0.2712586456765055,1.1109088943661531e-10,3.442608805305676,2.7488667414504504,0.8333333333333334,0.5,10,6
3970,NF1,TEAD3,R-3970,1.0,2.336499034358973,0.2851668807846498,1.076803272282049e-11,2.9705544411461737,2.2268292411579527,0.8333333333333334,0.5,10,6
3962,NF1,TEAD3,R-3962,1.0,2.336499034358973,0.4576676942667947,1.1332786783552129e-29,4.865359925134496,4.553897952218669,0.8333333333333334,0.5,10,6
3965,NF1,TEAD3,R-3965,1.0,2.336499034358973,0.4901810248892541,2.085475365160308e-34,3.848184812278388,3.212869897970976,0.8333333333333334,0.5,10,6
2192,NF1,FLI1,R-2192,1.0,4.518876475616375,0.1800928491436771,2.2645198669284915e-05,3.3305486329935534,2.635827034208902,1.0,0.4444444444444444,9,4
2197,NF1,FLI1,R-2197,1.0,4.518876475616375,0.3893526441799036,3.042103922673819e-21,2.387556016099683,1.617110091534605,1.0,0.4444444444444444,9,4
2191,NF1,FLI1,R-2191,1.0,4.518876475616375,0.5341957979303019,1.1010778584435765e-41,5.099941322154286,4.846386991124006,1.0,0.4444444444444444,9,4
2189,NF1,FLI1,R-2189,1.0,4.518876475616375,0.1723448624661611,5.079379221522953e-05,4.123873850116008,3.6388937558688856,1.0,0.4444444444444444,9,4
4304,NF1,IRF5,R-4304,1.0,1.435254080568134,0.3040958294431118,3.62763605688878e-13,3.1007965431845537,2.361025617665012,0.75,0.375,8,4
4302,NF1,IRF5,R-4302,1.0,1.435254080568134,0.3161582409370609,3.6612195602902715e-14,2.124210164461457,1.3775304759305491,0.75,0.375,8,4
4303,NF1,IRF5,R-4303,1.0,1.435254080568134,0.2164431466530506,3.1993175013158977e-07,3.598279420737635,2.924559351992664,0.75,0.375,8,4
1623,NF1,ELF1,R-1623,1.0,1.676595240614059,-0.2604433290724807,6.23529954594549e-10,-2.347522149924151,1.5889436068526732,1.0,0.3,20,6
1637,NF1,ELF1,R-1637,1.0,1.676595240614059,0.5519177575783614,6.260051301578887e-45,2.5823256872952527,1.830299933451449,1.0,0.3,20,6
1626,NF1,ELF1,R-1626,1.0,1.676595240614059,0.269136480088054,1.5679919568106588e-10,2.9681880416113104,2.2446110848879144,1.0,0.3,20,6
1620,NF1,ELF1,R-1620,1.0,1.676595240614059,0.4731399120368815,7.316454123297324e-32,5.1779742550764425,4.919260114315545,1.0,0.3,20,6
1621,NF1,ELF1,R-1621,1.0,1.676595240614059,0.461309410774976,3.539068559613636e-30,2.186685459328753,1.4267138874065324,1.0,0.3,20,6
1638,NF1,ELF1,R-1638,1.0,1.676595240614059,0.4579328183259379,1.0417034841881277e-29,2.8950700402731138,2.1491768343645496,1.0,0.3,20,6
1954,NF1,SOX2,R-1954,-1.0,2.0952520195549584,-0.3391814353329718,3.4147163752937364e-16,2.4099575473242463,1.64854792169711,0.25,0.125,16,8
